Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
Washington University in St. Louis (McKelvey),#48," • St. Louis, MO","The McKelvey School of Engineering at Washington University in St. Louis (McKelvey) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $57,750 per year and part-time: $2,045 per credit. The 2021 Ph.D. student-faculty ratio is 5.7:1. The McKelvey School of Engineering at Washington University in St. Louis (McKelvey) has 96 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementSt. Louis, MOExplore Map", 03/01, 12/15, $75, $75, (314) 935-5830,engineeringgradadmissions@wustl.edu,https://applyweb.com/cgi-bin/app?s=wustl,http://www.engineering.wustl.edu/, 96, 5.7:1,26.8%,73.2%," $57,750 per year"," $2,045 per credit"," $57,750 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/washington-university-in-st-louis-02097
Brown University,#53," • Providence, RI","The School of Engineering at Brown University has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $8,879 per credit and part-time: $8,879 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The School of Engineering at Brown University has 91 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementProvidence, RIExplore Map", 05/15, 12/31, $75, $75, (401) 863-2600,graduate_admissions@brown.edu,http://www.brown.edu/academics/gradschool/application-information,http://www.brown.edu/academics/gradschool, 91, 2.7:1,33.2%,66.8%," $8,879 per credit"," $8,879 per credit"," $60,944 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/brown-university-02159
Dartmouth College (Thayer),#53," • Hanover, NH","The Thayer School of Engineering at Dartmouth College (Thayer) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $58,935 per year. The 2021 Ph.D. student-faculty ratio is 3:1. The Thayer School of Engineering at Dartmouth College (Thayer) has 65 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementHanover, NHExplore Map", 01/01, 01/01, $50, $50, (603) 646-2606,engineering.admissions@dartmouth.edu,https://engineering.dartmouth.edu/apply,http://engineering.dartmouth.edu/, 65, 3:1,40%,60%," $58,935 per year", N/A," $58,935 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/dartmouth-college-02103
,,,"The application fee is $75 for U.S. residents and $95 for international students. Its tuition is full-time: $17,154 per year (in-state) and full-time: $38,446 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3:1. The engineering school at Colorado School of Mines has 186 full-time faculty on staff.","Message from the UniversityVideo Player is loading.Play VideoPlayUnmuteLoaded: 6.83%0:00Current Time 0:00/Duration 2:56Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Golden, COExplore MapApply Now", 07/01, 07/01, $75, $95, (303) 273-3225,admissions@mines.edu,https://www.mines.edu/graduate-admissions/application-process/,https://www.mines.edu/graduate-admissions/, 186, 3:1,29.4%,70.3%,"$17,154 per year (in-state)", N/A,"$17,154 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/colorado-school-of-mines-02030
Rutgers University--New Brunswick,#55," • Piscataway, NJ","The School of Engineering at Rutgers University--New Brunswick has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $18,180 per year (in-state); full-time: $30,912 per year (out-of-state); part-time: $758 per credit (in-state); and part-time: $1,288 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The School of Engineering at Rutgers University--New Brunswick has 178 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPiscataway, NJExplore Map", 12/01, 12/01, $70, $70, (732) 932-7711,linda.costa@rutgers.edu,http://gradstudy.rutgers.edu/,http://gradstudy.rutgers.edu/, 178, 2.2:1,29.5%,70.5%,"$18,180 per year (in-state)",$758 per credit (in-state),"$18,180 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/rutgers-university-new-brunswick-02109
University of Massachusetts--Amherst,#57," • Amherst, MA","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $14,014 per year (in-state); full-time: $30,572 per year (out-of-state); part-time: $4,163 per credit (in-state); and part-time: $8,207 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at University of Massachusetts--Amherst has 191 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementAmherst, MAExplore Map", 01/01, 01/01, $85, $85, (413) 545-0722,gradadm@grad.umass.edu,https://www.umass.edu/graduate/apply/how-apply,http://www.engineering.umass.edu/, 191, 3.6:1,33.9%,66.1%,"$14,014 per year (in-state)","$4,163 per credit (in-state)","$14,014 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-massachusetts-amherst-02082
University of Utah,#57," • Salt Lake City, UT","The application fee is $0 for U.S. residents and $65 for international students. Its tuition is full-time: $8,536 per year (in-state); full-time: $26,174 per year (out-of-state); part-time: $6,305 per year (in-state); and part-time: $19,635 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.4:1. The John and Marcia Price College of Engineering at University of Utah has 212 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementSalt Lake City, UTExplore Map", 01/01, 01/01, $0, $65, (801) 581-8761,admissions@sa.utah.edu,http://www.admissions.utah.edu/apply/,http://www.utah.edu/, 212, 3.4:1,23.4%,76.6%,"$8,536 per year (in-state)","$6,305 per year (in-state)","$8,536 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-utah-02181
Michigan State University,#59," • East Lansing, MI","The College of Engineering at Michigan State University has a rolling application deadline. The application fee is $65 for U.S. residents and $75 for international students. Its tuition is full-time: $911 per credit (in-state) and full-time: $1,707 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3:1. The College of Engineering at Michigan State University has 232 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementEast Lansing, MIExplore Map", N/A, N/A, $65, $75, (517) 355-8332,egrgrad@egr.msu.edu,http://www.egr.msu.edu/graduate,http://www.egr.msu.edu/, 232, 3:1,25.9%,74.1%,$911 per credit (in-state), N/A,$911 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/michigan-state-university-02084
Stony Brook University--SUNY,#59," • Stony Brook, NY","The application fee is $100 for U.S. residents and $100 for international students. Its tuition is full-time: $11,310 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.8:1. The College of Engineering and Applied Sciences at Stony Brook University--SUNY has 170 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementStony Brook, NYExplore Map", N/A, N/A, $100, $100, (631) 632-4723,gradadmissions@stonybrook.edu,http://grad.stonybrook.edu/admissions/index.php,https://www.grad.stonybrook.edu/, 170, 3.8:1,21.6%,78.4%,"$11,310 per year (in-state)",$471 per credit (in-state),"$11,310 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/stony-brook-university-suny-02125
Wichita State University,#59," • Wichita, KS","The College of Engineering at Wichita State University has a rolling application deadline. The application fee is $60 for U.S. residents and $75 for international students. Its tuition is full-time: $5,544 per year (in-state); full-time: $13,615 per year (out-of-state); part-time: $2,772 per year (in-state); and part-time: $6,808 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.6:1. The College of Engineering at Wichita State University has 64 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementWichita, KSExplore Map", 08/01, 08/01, $60, $75, (316) 978-3095,aaron.coffey@wichita.edu,https://www.wichita.edu/academics/gradschool/ApplicationandAdmission/CollegeNet_Application_Instructions.php,http://www.wichita.edu/engineering, 64, 0.6:1,26.5%,73.5%,"$5,544 per year (in-state)","$2,772 per year (in-state)","$5,544 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/wichita-state-university-02064
University at Buffalo--SUNY,#62," • Buffalo, NY","The School of Engineering and Applied Sciences at University at Buffalo--SUNY has a rolling application deadline. The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $11,550 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The School of Engineering and Applied Sciences at University at Buffalo--SUNY has 194 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementBuffalo, NYExplore Map", N/A, N/A, $85, $85, (716) 645-2771,gradeng@buffalo.edu,https://ubseasconnect.buffalo.edu/apply,http://engineering.buffalo.edu/, 194, 2.6:1,23.7%,76.3%,"$11,550 per year (in-state)",$471 per credit (in-state),"$11,550 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-at-buffalo-02124
University of Tennessee--Knoxville (Tickle),#62," • Knoxville, TN","The Tickle College of Engineering at University of Tennessee--Knoxville (Tickle) has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $639 per credit (in-state); full-time: $1,650 per credit (out-of-state); part-time: $639 per credit (in-state); and part-time: $1,650 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The Tickle College of Engineering at University of Tennessee--Knoxville (Tickle) has 188 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementKnoxville, TNExplore Map", 08/01, 08/01, $60, $60, (865) 974-3251,gradschool@utk.edu,https://gradschool.utk.edu/admissions/applying-to-graduate-school/,https://gradschool.utk.edu/admissions/, 188, 3.3:1,19.9%,80.1%,$639 per credit (in-state),$639 per credit (in-state),$639 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-tennessee-02167
Auburn University (Ginn),#64," • Auburn, AL","The Samuel Ginn College of Engineering at Auburn University (Ginn) has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $10,080 per year (in-state); full-time: $30,240 per year (out-of-state); part-time: $560 per credit (in-state); and part-time: $1,680 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.7:1. The Samuel Ginn College of Engineering at Auburn University (Ginn) has 177 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0.00%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementAuburn, ALExplore Map", N/A, N/A, $60, $70, (334) 844-4700,gradadm@auburn.edu,http://www.grad.auburn.edu/,http://www.grad.auburn.edu/, 177, 2.7:1,23.6%,76.4%,"$10,080 per year (in-state)",$560 per credit (in-state),"$10,080 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/auburn-university-main-campus-02001
The University of Texas at Dallas (Jonsson),#64," • Richardson, TX","The Erik Jonsson School of Engineering and Computer Science at The University of Texas at Dallas (Jonsson) has a rolling application deadline. The application fee is $50 for U.S. residents and $100 for international students. Its tuition is full-time: $15,088 per year (in-state) and full-time: $29,252 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The Erik Jonsson School of Engineering and Computer Science at The University of Texas at Dallas (Jonsson) has 156 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementRichardson, TXExplore Map", 05/01, 05/01, $50, $100, (972) 883-2270,admission@utdallas.edu,https://graduate-admissions.utdallas.edu/steps-to-admission/,https://www.utdallas.edu/, 156, 3.5:1,31.1%,68.9%,"$15,088 per year (in-state)", N/A,"$15,088 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-dallas-02208
Tufts University,#64," • Medford, MA","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $50,910 per year and part-time: $1,697 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The School of Engineering at Tufts University has 91 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementMedford, MAExplore Map", 01/15, 12/15, $85, $85, (617) 627-3395,gradadmissions@tufts.edu,http://gradase.admissions.tufts.edu/apply/,http://asegrad.tufts.edu/, 91, 2.7:1,33.9%,66.1%," $50,910 per year"," $1,697 per credit"," $9,194 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/tufts-university-02080
University of Arizona,#64," • Tucson, AZ","The College of Engineering at University of Arizona has a rolling application deadline. The application fee is $85 for U.S. residents and $95 for international students. Its tuition is full-time: $12,106 per year (in-state); full-time: $32,290 per year (out-of-state); part-time: $865 per credit (in-state); and part-time: $1,794 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering at University of Arizona has 160 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementTucson, AZExplore Map", 01/01, 01/01, $85, $95, (520) 621-3471,gradadmissions@grad.arizona.edu,https://apply.grad.arizona.edu/users/login,http://grad.arizona.edu/, 160, 2.8:1,24.6%,75.4%,"$12,106 per year (in-state)",$865 per credit (in-state),"$12,106 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-arizona-02007
University of North Carolina--Chapel Hill,#64," • Chapel Hill, NC","The Environmental Sciences and Engineering at University of North Carolina--Chapel Hill has a rolling application deadline. The application fee is $95 for U.S. residents and $95 for international students. Its tuition is full-time: $10,552 per year (in-state) and full-time: $28,844 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The Environmental Sciences and Engineering at University of North Carolina--Chapel Hill has 61 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementChapel Hill, NCExplore Map", 05/10, 05/10, $95, $95, (919) 962-6316,rcbuchan@email.unc.edu,http://gradschool.unc.edu/admissions/instructions.html,https://gradschool.unc.edu/, 61, 3.3:1,53.8%,45.3%,"$10,552 per year (in-state)", N/A,"$10,552 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-north-carolina-at-chapel-hill-02233
Rochester Institute of Technology (Gleason),#69," • Rochester, NY","The Kate Gleason College of Engineering at Rochester Institute of Technology (Gleason) has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $52,092 per year and part-time: $2,171 per year. The 2021 Ph.D. student-faculty ratio is 2.3:1. The Kate Gleason College of Engineering at Rochester Institute of Technology (Gleason) has 100 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0.00%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementRochester, NYExplore Map", N/A, N/A, $65, $65, (585) 475-2229,gradinfo@rit.edu,https://join.rit.edu/account/register,http://www.rit.edu/, 100, 2.3:1,22.4%,77.6%," $52,092 per year"," $2,171 per year"," $52,092 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/rochester-institute-of-technology-02250
